trace_hour,day,hour_of_day,arrival_work_core_hours
0,1,0,88135.340833
1,1,1,0.0
2,1,2,0.0
3,1,3,3374.325833
4,1,4,2225.920278
5,1,5,52964.722222
6,1,6,28616.350556
7,1,7,0.0025
8,1,8,36674.578056
9,1,9,15790.516389
10,1,10,0.0
11,1,11,0.0
12,1,12,825.386389
13,1,13,0.0
14,1,14,21658.24
15,1,15,171.399167
16,1,16,22537.023056
17,1,17,25759.1475
18,1,18,1587.175833
19,1,19,3264.161944
20,1,20,39620.152778
21,1,21,18489.511528
22,1,22,35785.084028
23,1,23,70038.761472
24,2,0,681597.88732
25,2,1,583876.417361
26,2,2,382159.619792
27,2,3,506674.146278
28,2,4,581036.975111
29,2,5,972925.185708
30,2,6,1070446.116931
31,2,7,664432.159542
32,2,8,517267.318236
33,2,9,416330.112236
34,2,10,463596.927736
35,2,11,832292.226903
36,2,12,500319.112639
37,2,13,309536.256292
38,2,14,393457.007375
39,2,15,622997.565958
40,2,16,614033.739611
41,2,17,372208.409361
42,2,18,354074.423236
43,2,19,382064.182667
44,2,20,375213.520486
45,2,21,513086.747917
46,2,22,435217.618486
47,2,23,503397.499542
48,3,0,382819.310806
49,3,1,376395.83307
50,3,2,371542.87232
51,3,3,368804.561639
52,3,4,485891.010875
53,3,5,723066.186056
54,3,6,1363090.588903
55,3,7,638209.662195
56,3,8,812848.401014
57,3,9,867994.360514
58,3,10,665568.677861
59,3,11,508884.452875
60,3,12,501950.635847
61,3,13,687576.261625
62,3,14,480372.669
63,3,15,504169.916264
64,3,16,755096.110792
65,3,17,981093.627792
66,3,18,294576.246333
67,3,19,350505.936278
68,3,20,445170.778111
69,3,21,547432.665347
70,3,22,563744.138153
71,3,23,353552.484708
72,4,0,407349.790695
73,4,1,412440.692583
74,4,2,313688.189097
75,4,3,425620.085917
76,4,4,474659.230375
77,4,5,522251.112195
78,4,6,1252742.396694
79,4,7,735660.985875
80,4,8,486077.385111
81,4,9,747094.096028
82,4,10,612568.375431
83,4,11,638782.942181
84,4,12,1107492.412125
85,4,13,837618.097764
86,4,14,800803.15182
87,4,15,815897.02025
88,4,16,457738.242611
89,4,17,453752.023361
90,4,18,540286.349472
91,4,19,259770.669722
92,4,20,341450.907833
93,4,21,580959.224806
94,4,22,496601.871514
95,4,23,357958.038306
96,5,0,417203.23375
97,5,1,641175.455042
98,5,2,392548.00782
99,5,3,592695.995042
100,5,4,618629.553139
101,5,5,1814183.771833
102,5,6,1468054.50143
103,5,7,1188568.127708
104,5,8,1250208.290805
105,5,9,846945.489819
106,5,10,327401.182
107,5,11,625561.465931
108,5,12,1720929.081986
109,5,13,1813051.320833
110,5,14,1810228.481708
111,5,15,585505.360472
112,5,16,330175.412375
113,5,17,257247.904778
114,5,18,172915.848639
115,5,19,193414.312445
116,5,20,214026.941625
117,5,21,211108.550472
118,5,22,280388.86775
119,5,23,249517.094903
120,6,0,601071.638625
121,6,1,870624.577417
122,6,2,442631.174195
123,6,3,475957.720167
124,6,4,488930.717792
125,6,5,587386.044403
126,6,6,2111386.593791
127,6,7,899904.866097
128,6,8,442251.33025
129,6,9,539594.871886
130,6,10,322029.486472
131,6,11,325853.07825
132,6,12,293584.695306
133,6,13,199248.055458
134,6,14,166077.613903
135,6,15,280978.497361
136,6,16,233139.031806
137,6,17,173457.668569
138,6,18,132820.04825
139,6,19,178801.819889
140,6,20,173244.807583
141,6,21,208012.775514
142,6,22,255010.107695
143,6,23,281316.462153
144,7,0,379984.703236
145,7,1,502507.848708
146,7,2,323731.797958
147,7,3,482366.816625
148,7,4,481567.334097
149,7,5,1353277.590166
150,7,6,1401896.602042
151,7,7,628779.170333
152,7,8,442862.146153
153,7,9,585513.079472
154,7,10,460405.499847
155,7,11,680567.138278
156,7,12,470630.449361
157,7,13,497411.226097
158,7,14,567111.097542
159,7,15,719949.989209
160,7,16,521235.955861
161,7,17,651451.852653
162,7,18,294362.569278
163,7,19,351087.230111
164,7,20,340323.149111
165,7,21,522111.634195
166,7,22,470283.15107
167,7,23,221355.374667
168,8,0,326494.46582
169,8,1,414720.801208
170,8,2,263928.800722
171,8,3,416444.595875
172,8,4,492339.438292
173,8,5,1122917.475708
174,8,6,1291876.32593
175,8,7,641697.6395
176,8,8,441848.950917
177,8,9,539660.016222
178,8,10,751607.261347
179,8,11,767099.042695
180,8,12,327853.662167
181,8,13,439785.560931
182,8,14,702748.021584
183,8,15,572994.595375
184,8,16,671753.502014
185,8,17,821603.071889
186,8,18,1003456.232764
187,8,19,866121.948361
188,8,20,932834.099917
189,8,21,508024.543681
190,8,22,458905.533403
191,8,23,310127.766014
