hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours
0,2261.0,2242.263611,88135.340833
1,2242.0,2242.0,88135.077222
2,2242.0,2242.0,88135.077222
3,2409.0,2271.423889,91509.403056
4,2499.5,2477.957639,93735.283889
5,8610.0,4272.505833,146700.004444
6,4840.5,4415.738611,175182.154167
7,4839.5,4838.500833,175182.145833
8,5668.5,5614.045,211856.723889
9,6596.5,6173.706667,227645.742778
10,6596.5,6596.5,227645.742778
11,6596.5,6596.5,227645.742778
12,6727.5,6705.964167,228471.129167
13,6711.5,6711.5,228471.129167
14,12907.5,8241.999722,250129.369167
15,15538.5,8308.92,249499.517222
16,18999.5,10073.066944,271267.493333
17,14995.5,11956.95,296885.782222
18,18688.5,11310.121111,295475.981667
19,12031.5,11462.614167,298698.293056
20,56210.5,17868.833333,338318.437778
21,28893.0,22830.444861,356319.465972
22,51324.0,29523.829306,390585.22875
23,427782.4,60575.239722,460031.826056
24,4905756.85,277217.133792,1126484.357764
25,4688075.4,442774.397625,1537188.145736
26,4702014.85,518218.609389,1700125.804764
27,6542557.099999,575046.329931,1755108.373735
28,6709515.7,552116.711542,1881855.931
29,10367345.15,666432.825125,2279977.123236
30,6906339.399999,1191841.566111,2779855.761944
31,7248650.0,801835.511361,2619925.15361
32,4755390.65,524594.566014,2344595.876833
33,5940419.75,513324.364389,2260147.736222
34,8997307.25,544822.699292,2132360.796333
35,8661680.6,730254.681917,2351243.145791
36,6147920.15,650026.616236,2138026.49268
37,6190773.15,363096.979333,1647182.652833
38,6836035.9,364254.042917,1441804.938014
39,7598203.5,468349.666847,1559760.875472
40,9553325.85,747066.099597,1744978.178819
41,9985522.05,510423.66175,1536365.197611
42,7968349.9,388078.767972,1358727.858
43,8717649.9,321235.292458,1344733.583055
44,7539586.25,342093.389903,1159610.320583
45,8470459.6,567914.982208,1362405.113764
46,6275088.95,444567.221583,1272182.545
47,5236050.9,464963.948125,1360033.729361
48,5952298.999999,298555.045195,1247065.61218
49,5376252.1,362481.50207,1364149.014403
50,5828869.05,430754.732861,1352172.341861
51,5506488.25,437973.144862,1359359.817666
52,6421566.8,487515.753208,1488756.139083
53,9827579.6,582484.397445,1695037.513041
54,7774849.8,1090661.854528,2478100.254014
55,8137212.55,727517.9855,2350082.169513
56,6516803.7,664035.477167,2162765.827638
57,7918346.05,893387.813153,2449109.906763
58,9603975.4,808084.409583,2447046.541777
59,8916814.05,649362.665778,2148189.928277
60,7473951.35,499730.643514,1940909.419694
61,8322595.65,659217.90157,2082282.971139
62,10409254.5,620654.760847,1882148.064277
63,10186800.8,553146.703056,1648978.240403
64,10142585.35,646031.9435,1800631.735652
65,15140970.2,1052026.489611,2331313.24143
66,7991524.9,360780.367528,1548246.933861
67,8136687.2,323678.369417,1232183.473195
68,8295983.55,389932.052139,1348988.896514
69,8506103.0,469238.429931,1508889.406028
70,6405394.1,690510.757375,1634460.02293
71,6547579.85,389137.23207,1267148.808389
72,4427650.35,298464.436014,1233404.833722
73,4993289.0,379780.713222,1370487.659736
74,4772257.55,346057.286472,1313478.308028
75,5541430.1,409689.678139,1323401.393458
76,5346092.6,380547.356945,1430734.097916
77,7782333.45,460827.704111,1546029.580499
78,7124996.5,910178.313028,2319632.610222
79,6775272.25,822013.581889,2435184.469277
80,6305718.95,534122.434097,2053708.437611
81,8088313.9,767766.547056,2156487.089277
82,9244035.05,558931.784806,2128564.604097
83,11460107.15,783917.4365,2217870.327486
84,5983198.75,601844.953958,2663110.465444
85,8645300.8,1010278.081125,3045077.125069
86,9836577.1,833351.468403,3229406.762527
87,7574567.95,1020117.238306,3077543.232222
88,8571469.199999,623233.599403,2910251.086611
89,9007608.899999,573303.461681,2364319.967194
90,6596183.299999,326198.114417,2238903.359277
91,5688500.149999,258886.337167,2145876.78393
92,13985679.35,326601.513361,2217816.765708
93,41841030.400001,614880.319722,2507481.236694
94,12803728.3,549229.67575,1843338.08393
95,7468038.299998,407940.499514,1721948.925583
96,5317357.549999,315266.742139,1698008.50168
97,5033928.949999,453508.955097,2063497.978555
98,4544221.5,661088.602181,2168561.850513
99,7840822.599999,607833.318098,2247582.488469
100,8724278.849999,666033.915028,2136748.472597
101,11525475.85,1021285.375458,3325256.277916
102,11127962.7,1693691.410097,4105745.010055
103,11222778.85,1302520.696708,4019634.94511
104,9608037.399999,1059838.236069,3985247.94068
105,8485240.249999,897715.653542,3583371.816333
106,5234478.049999,540551.446236,2813470.874625
107,4563401.75,558754.277931,2928744.517528
108,13435856.35,1846777.042472,4297524.150139
109,16394445.800001,1878329.234041,4807333.084333
110,16748630.650001,1759630.202819,4977708.010111
111,12293452.55,1042899.800445,3416818.824347
112,6422374.249999,399054.593042,2758481.270375
113,4249668.1,225473.428042,1945700.532291
114,3043880.75,224779.837056,1878415.309194
115,3894129.65,210833.950583,1867846.915332
116,3338765.4,222201.995931,1893237.124206
117,3569852.0,209675.475889,1875405.114166
118,5249522.399999,301728.310625,1499865.776736
119,4851367.7,261315.868014,1430094.272403
120,4119604.0,269034.933125,1392988.441347
121,5843069.999999,740357.337458,2044664.613986
122,5758288.549999,790272.927945,2157526.32918
123,6990373.399999,517268.108625,1965115.856345
124,7659901.399999,465324.748542,1655981.898666
125,9319405.899999,515334.511236,1485905.66943
126,8132348.099999,1342606.721833,3078889.756444
127,8204888.699999,1226182.183611,3183208.864236
128,6178994.049999,769518.486333,2643141.402
129,5521092.059999,597288.375956,2496621.792941
130,4080380.9,391547.990486,1556199.254233
131,3123057.0,376463.794778,1483821.413417
132,2857005.05,294551.058667,1437237.328514
133,2612575.05,258969.015194,1370591.245236
134,2635469.95,180446.949958,1228460.80518
135,3910898.05,321859.662472,1171714.609042
136,3696450.25,270556.371653,1051033.622194
137,3668513.2,175091.091111,926300.599334
138,3437612.75,160337.781,867208.819792
139,4284885.2,164797.64525,851939.220403
140,3130443.65,148468.523264,862253.60607
141,6504526.099999,199342.714639,899328.948792
142,4866887.599999,295420.501764,942078.391347
143,4719798.9,269685.584778,879462.782375
144,5030095.849999,306903.899653,977756.242667
145,7434627.999999,428927.694722,1209244.707264
146,6422923.349999,374442.975847,1124746.361597
147,8206820.549999,501991.286417,1165301.758792
148,7343262.949999,421309.46657,1197555.783639
149,10094499.699999,693341.477986,2147493.436236
150,7192787.999999,1148913.686236,2921119.927875
151,7677201.999999,788338.627931,2807643.964277
152,6079955.049999,543936.277264,2322163.729583
153,8128454.549999,698473.309195,2381032.271291
154,9353050.5,549597.647181,2243140.963597
155,9884849.049999,680406.262014,2377200.651222
156,5855213.649999,538571.426445,2291272.428583
157,6437606.199999,521639.841958,2161307.693041
158,8499317.449999,612214.857986,2279597.69468
159,9482070.95,829323.492472,2335211.310111
160,9114778.649999,516175.597667,2002759.844611
161,12309904.75,722203.45025,2232927.647305
162,8192886.849999,422170.967653,1833220.487611
163,6958650.449999,373362.991403,1697630.877861
164,7288953.099999,377062.791445,1675374.161569
165,6912203.899999,504504.627931,1750236.105333
166,6498433.599999,521122.255708,1899240.599875
167,5362007.399999,255116.258972,1441256.702639
168,4690679.849999,221489.622375,1377973.21225
169,7169431.299998,397803.361431,1622579.899597
170,6252601.649999,279346.535222,1515148.445916
171,8468841.649999,405525.545348,1673875.43922
172,8511415.849999,513264.935028,1768540.718194
173,11820370.4,669634.80482,2406420.374861
174,8878876.899999,1327309.971778,3138553.894388
175,8521441.849999,737880.065556,2529295.919388
176,5817812.849999,440122.503125,1994090.763597
177,7361946.349999,570765.151264,1785963.112153
178,8579994.799999,603291.089292,2036333.022611
179,7988464.699999,892309.232056,2354672.828791
180,5862283.899999,465815.057639,1905726.039111
181,5596019.549999,444371.940945,1828563.052444
182,8632213.699999,586163.196431,2162904.996
183,8192051.499998,709125.398834,2103292.388041
184,8263412.249999,565450.630514,2109863.443375
185,11096189.05,804621.656958,2192704.967346
186,10436499.299999,942665.905931,2561936.048666
187,10394022.45,756351.426361,2476139.482013
188,10681918.65,923241.883653,2686376.541347
189,8103866.249999,821223.810083,2191312.412513
190,7394546.149999,585550.391097,2126132.974097
191,6444261.409999,345810.65582,1466613.518403
192,437428.81,64731.959556,1093009.118486
193,32727.66,23916.336389,762966.437556
194,20018.16,16002.402917,724944.1645
195,14243.66,11755.033889,649773.519639
196,9694.66,8897.455972,600070.419361
197,8036.16,7985.825833,473184.964778
198,7986.0,7913.755278,445810.832833
199,7695.5,7506.178611,393341.721444
200,6509.5,6429.485278,358470.610889
201,6769.5,6389.720556,321248.733889
202,6387.5,6379.633333,321240.618611
203,6372.5,6371.944444,317368.026111
204,6362.5,6362.5,285791.921806
205,6362.5,6168.543889,285021.21875
206,5976.5,5409.355833,247461.794722
207,5305.0,5296.951389,247398.244722
208,5295.0,5295.0,247279.287222
209,5295.0,5295.0,245372.4025
210,5296.0,5294.088056,245374.279444
211,5294.0,5293.655833,234296.228333
212,5570.0,4308.127222,234244.007778
213,515.0,515.0,231510.529861
214,515.0,346.599444,227412.551944
215,0.0,0.0,227412.551944
216,0.0,0.0,214130.355
217,0.0,0.0,180448.0425
218,0.0,0.0,180448.0425
219,0.0,0.0,180347.426667
220,0.0,0.0,180329.136389
221,0.0,0.0,180329.136389
222,0.0,0.0,171565.343611
223,0.0,0.0,171565.343611
224,0.0,0.0,171565.343611
225,0.0,0.0,171565.343611
226,0.0,0.0,171012.724444
227,0.0,0.0,44397.030278
228,0.0,0.0,24404.885556
229,0.0,0.0,9725.331111
230,0.0,0.0,9615.295833
231,0.0,0.0,9615.295833
232,0.0,0.0,9615.295833
233,0.0,0.0,9615.295833
234,0.0,0.0,9615.295833
235,0.0,0.0,9615.295833
236,0.0,0.0,9615.295833
237,0.0,0.0,9615.295833
238,0.0,0.0,9615.295833
239,0.0,0.0,9615.295833
240,0.0,0.0,9615.295833
241,0.0,0.0,8169.763333
242,0.0,0.0,8169.763333
243,0.0,0.0,8169.763333
244,0.0,0.0,1357.76
245,0.0,0.0,1257.648333
246,0.0,0.0,1129.508889
247,0.0,0.0,933.4
248,0.0,0.0,933.4
249,0.0,0.0,933.4
250,0.0,0.0,933.4
251,0.0,0.0,933.4
252,0.0,0.0,933.4
253,0.0,0.0,933.4
254,0.0,0.0,933.4
