method,held_out_fold,validation_window_id,gamma,effective_gamma,gamma_saturated,sample_size,energy_quantile,feasible,solver_status,solver_runtime_seconds,mip_gap,max_robust_constraint_violation_mw,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
static_Gamma_RO,fold_1,0,0.5,0.5,False,20,0.9,True,optimal,15.289000034332275,0.0,3.3306690738754696e-16,11792.325750938799,12360.614511897045,184710.38526120092,0.6219159298794081,157.1798526409073,42.19363763552893,2.2737367544323206e-13,0.0,8.326672684688674e-16,False,False,False
static_Gamma_RO,fold_1,1,0.5,0.5,False,20,0.9,True,optimal,22.646000146865845,0.0,2.7755575615628914e-16,12525.598423695708,13077.523874997723,173196.4072156897,0.5901194972780406,156.37643519511457,47.68859003872888,5.684341886080802e-14,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_1,2,0.5,0.5,False,20,0.9,True,optimal,14.263000011444092,0.0,2.7755575615628914e-16,11768.793953079867,12495.827066696378,191069.27733725382,0.7407014683169189,156.6452931951812,33.943167637134124,1.1368683772161603e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,3,0.5,0.5,False,20,0.9,True,optimal,15.516999959945679,0.0,2.7755575615628914e-16,12654.280358001171,12677.779805138844,177314.5305062832,1.951716850497386,154.74458975792194,32.17888493191388,8.526512829121202e-14,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_1,4,0.5,0.5,False,20,0.9,True,optimal,13.98799991607666,0.0,2.7755575615628914e-16,10734.087562184206,10868.762468907049,165359.05029546045,0.5411745657207664,154.36448355407097,35.670480733066796,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,5,0.5,0.5,False,20,0.9,True,optimal,18.3439998626709,0.0,2.7755575615628914e-16,12085.28516659823,12912.465210189823,175129.00678512096,0.3549879297527916,157.78950998610185,34.27006638360785,1.4210854715202004e-13,0.0,4.440892098500626e-16,False,False,False
static_Gamma_RO,fold_1,6,0.5,0.5,False,20,0.9,True,optimal,16.236000061035156,0.0,2.498001805406602e-16,12102.664345935253,12282.740986319817,177974.09619585736,0.8372718380648035,155.61592524725384,36.33289086735386,5.684341886080802e-14,0.0,7.771561172376096e-16,False,False,False
static_Gamma_RO,fold_1,7,0.5,0.5,False,20,0.9,True,optimal,20.45899987220764,0.0,3.885780586188048e-16,14853.948520273725,16434.65219851072,184074.43709185295,0.26209003490822036,157.03989040626377,37.78746377830488,9.947598300641403e-14,0.0,1.1102230246251565e-16,False,False,False
static_Gamma_RO,fold_1,8,0.5,0.5,False,20,0.9,True,optimal,24.493000030517578,0.0,3.3306690738754696e-16,21151.96108626184,22531.700850490935,181466.85142471455,0.6251643710044943,156.61356311345568,36.574326485046605,1.1368683772161603e-13,0.0,1.2212453270876722e-15,False,False,False
static_Gamma_RO,fold_1,9,0.5,0.5,False,20,0.9,True,optimal,15.274999856948853,0.0,2.7755575615628914e-16,11509.574956834493,11547.765020646098,172470.51156050473,0.5370918895921,154.40626239173935,40.948037798920836,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,10,0.5,0.5,False,20,0.9,True,optimal,16.79800009727478,0.0,2.498001805406602e-16,11446.346246763756,11878.531076155474,180902.85359646002,1.8378594012947418,155.78570885084605,29.122190512738317,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_1,11,0.5,0.5,False,20,0.9,True,optimal,17.799000024795532,0.0,2.7755575615628914e-16,12663.16873704377,13394.834308495949,181121.09931288686,0.22992721054935228,154.50896009879548,46.44054098204398,3.126388037344441e-13,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_2,0,0.5,0.5,False,20,0.9,True,optimal,21.457000017166138,0.0,3.3306690738754696e-16,16806.465768038477,21044.01920775431,183477.6007035274,0.39161802532703505,156.58140129655038,38.50737761153022,8.526512829121202e-14,0.0,8.326672684688674e-16,False,False,False
static_Gamma_RO,fold_2,1,0.5,0.5,False,20,0.9,True,optimal,20.932999849319458,0.0,2.7755575615628914e-16,13442.291128147297,14961.03946974621,177608.4419023811,1.3720067098653463,155.06041145040052,32.992658313280025,1.1368683772161603e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_2,2,0.5,0.5,False,20,0.9,True,optimal,16.549999952316284,0.0,3.3306690738754696e-16,12889.652148215959,15450.7465490733,172574.76385048396,0.9435982302400996,156.29604456716186,38.04692269230154,8.526512829121202e-14,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_2,3,0.5,0.5,False,20,0.9,True,optimal,17.544999837875366,0.0,2.7755575615628914e-16,13735.598382579226,18896.825199633902,169560.79957811523,0.7843934846041194,154.97607862010096,32.44173029427568,5.684341886080802e-14,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_2,4,0.5,0.5,False,20,0.9,True,optimal,20.33299994468689,0.0,3.3306690738754696e-16,13274.980933198705,16803.37606892248,172163.48509892117,1.9201150785224828,153.43642176433067,38.190730247887046,5.684341886080802e-14,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_2,5,0.5,0.5,False,20,0.9,True,optimal,21.34599995613098,0.0,2.7755575615628914e-16,14695.546779243574,18868.971462117166,172728.6582348082,0.21656609795545498,154.57221992226417,31.855661369290505,7.105427357601002e-14,0.0,8.326672684688674e-16,False,False,False
static_Gamma_RO,fold_2,6,0.5,0.5,False,20,0.9,True,optimal,17.657999992370605,0.0,2.7755575615628914e-16,12672.136050685416,14008.007035735345,169009.14319499373,0.7966283806222203,153.47574719508037,29.64062358929707,8.526512829121202e-14,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_2,7,0.5,0.5,False,20,0.9,True,optimal,18.677000045776367,0.0,2.498001805406602e-16,12408.379562618764,13156.40699852329,177824.91499743582,0.6414958780241828,155.58844556286505,41.30726230911086,2.842170943040401e-14,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_2,8,0.5,0.5,False,20,0.9,True,optimal,20.299000024795532,0.0,3.3306690738754696e-16,13014.26350687932,14307.677033582095,168414.69176103195,1.6108963757134176,152.68193903348745,37.46595665742368,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_2,9,0.5,0.5,False,20,0.9,True,optimal,17.813999891281128,0.0,3.3306690738754696e-16,14407.42395986249,16884.86586909548,173385.6152305888,0.9182953794384994,155.94832964002796,30.337786938698585,4.263256414560601e-14,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_2,10,0.5,0.5,False,20,0.9,True,optimal,21.68499994277954,0.0,2.7755575615628914e-16,13222.27770779884,14349.865908273943,168255.22900411265,1.6131269190085082,152.26026105610472,30.8103230863777,5.684341886080802e-14,0.0,1.1102230246251565e-16,False,False,False
static_Gamma_RO,fold_2,11,0.5,0.5,False,20,0.9,True,optimal,17.44600009918213,0.0,2.7755575615628914e-16,12091.76916584877,13736.97364123661,182873.27538936582,0.7238478426821424,155.89158753084354,39.490761400702596,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_3,0,0.5,0.5,False,20,0.9,True,optimal,15.098000049591064,0.0,3.0531133177191805e-16,12608.31755651929,13976.055538978117,188109.06424451224,1.0326577971144408,156.4873785003814,40.19686500687983,2.5579538487363607e-13,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_3,1,0.5,0.5,False,20,0.9,True,optimal,15.524999856948853,0.0,4.163336342344337e-16,13756.675081847769,15180.687129789178,189617.14356844185,1.348779076821661,157.0013314373467,36.43719946100218,9.947598300641403e-14,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_3,2,0.5,0.5,False,20,0.9,True,optimal,12.654000043869019,0.0,2.7755575615628914e-16,11249.669938575842,11714.911792030962,180926.6850549635,1.161256885873231,155.84264196780325,32.67946999880653,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_3,3,0.5,0.5,False,20,0.9,True,optimal,17.682000160217285,0.0,3.0531133177191805e-16,13100.367849808106,14344.387546380787,193540.29911782392,0.8447749443130993,155.2582597960371,30.379347352894474,8.526512829121202e-14,0.0,7.771561172376096e-16,False,False,False
static_Gamma_RO,fold_3,4,0.5,0.5,False,20,0.9,True,optimal,20.118000030517578,0.0,2.7755575615628914e-16,13906.477728583077,15439.444680272436,197735.10697893106,0.93488038485036,156.10030241200553,37.82927974892058,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_3,5,0.5,0.5,False,20,0.9,True,optimal,22.76800012588501,0.0,2.7755575615628914e-16,13433.974658357753,14311.578054722386,182586.8381853418,0.9195888051807876,156.36906846990144,32.08922884631931,8.526512829121202e-14,0.0,9.992007221626409e-16,False,False,False
static_Gamma_RO,fold_3,6,0.5,0.5,False,20,0.9,True,optimal,15.184000015258789,0.0,3.3306690738754696e-16,11781.748061628943,12702.413825208121,181039.07382825168,0.27995653825406674,154.24291660856846,39.48151773741514,1.1368683772161603e-13,0.0,3.3306690738754696e-16,False,False,False
static_Gamma_RO,fold_3,7,0.5,0.5,False,20,0.9,True,optimal,16.7260000705719,0.0,3.3306690738754696e-16,12623.380876419074,13885.367466512545,189437.2672008205,1.6666534470562424,154.82077948761767,29.700083934762045,2.5579538487363607e-13,0.0,6.661338147750939e-16,False,False,False
static_Gamma_RO,fold_3,8,0.5,0.5,False,20,0.9,True,optimal,17.740999937057495,0.0,2.7755575615628914e-16,12103.138243819041,12769.940371308103,187549.83482919767,1.428920855241717,153.5017505085377,26.343171471531154,1.4210854715202004e-13,0.0,4.440892098500626e-16,False,False,False
static_Gamma_RO,fold_3,9,0.5,0.5,False,20,0.9,True,optimal,19.88100004196167,0.0,2.7755575615628914e-16,14041.059850281614,15240.748112771518,187749.98700636468,1.5907941078197703,155.2153914951278,43.43935544140767,1.1368683772161603e-13,0.0,5.551115123125783e-16,False,False,False
static_Gamma_RO,fold_3,10,0.5,0.5,False,20,0.9,True,optimal,15.822999954223633,0.0,3.3306690738754696e-16,12864.207589292368,13637.405398351204,187314.23215295948,0.9078335134405425,156.43945560468958,40.710240372404876,2.5579538487363607e-13,0.0,8.881784197001252e-16,False,False,False
