directory,grid_limit_fraction_of_peak,ramp_limit_fraction_of_peak,configuration,method,window,status,replay_count,nominal_operating_cost_usd,mean_actual_operating_cost_usd,mean_batch_adjustment_mwh,mean_actual_curtailment_mwh,workload_violation_rate,workload_max_violation_mwh,grid_violation_rate,grid_max_violation_mw,ramp_violation_rate,ramp_max_violation_mw,physical_union_violation_rate,physical_union_max_violation_mw,solve_wall_time_seconds
grid_0p70_ramp_0p075,0.7,0.075,deterministic,deterministic,2025-01-01,complete,100,15846.425128473193,16406.577773682893,49.53981750739119,0.0060177045301776765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8234668000004604
grid_0p70_ramp_0p075,0.7,0.075,deterministic,deterministic,2025-04-01,complete,100,15964.055513172812,16242.046799839334,52.306986990034154,0.02796293075225877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9445842000004632
grid_0p70_ramp_0p075,0.7,0.075,deterministic,deterministic,2025-07-01,complete,100,16161.727331529963,17020.704539808226,56.02553323478799,0.0964224550492819,0.0,0.0,1.0,0.29522770167806534,0.0,0.0,1.0,0.29522770167806534,1.9502440000005663
grid_0p70_ramp_0p075,0.7,0.075,deterministic,deterministic,2025-10-01,complete,100,16850.70142746593,16948.224089026557,52.00220122561707,0.05382616067770277,0.0,0.0,1.0,0.22415611341035802,0.0,0.0,1.0,0.22415611341035802,1.7298187000005782
grid_0p7125_ramp_0p075,0.7125,0.075,deterministic,deterministic,2025-07-01,complete,100,16161.395243915307,17021.447355511686,56.28708826848108,0.1194146634341896,0.0,0.0,1.0,0.27395238567805524,0.0,0.0,1.0,0.27395238567805524,1.6988356000001659
grid_0p7125_ramp_0p075,0.7125,0.075,deterministic,deterministic,2025-10-01,complete,100,16849.023448003965,16947.583859438506,51.80873848979472,0.052168762863445094,0.0,0.0,1.0,0.20308287989702078,0.0,0.0,1.0,0.20308287989702078,1.7002788999998302
grid_0p7140625_ramp_0p075,0.7140625,0.075,deterministic,deterministic,2025-07-01,complete,100,16161.360852962296,17021.54446476789,56.31545541402563,0.12392998559103077,0.0,0.0,1.0,0.2712929711780554,0.0,0.0,1.0,0.2712929711780554,1.8283277999998973
grid_0p7140625_ramp_0p075,0.7140625,0.075,deterministic,deterministic,2025-10-01,complete,100,16848.849014721785,16947.49545581028,51.81650882195789,0.0523283282792364,0.0,0.0,1.0,0.2004234653970165,0.0,0.0,1.0,0.2004234653970165,1.8409191000000646
grid_0p7140625_ramp_0p075_tv_probe_autumn,0.7140625,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16848.84901472177,16951.047905085037,51.11113599903937,0.008415883224614795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.11964940000007
grid_0p7140625_ramp_0p075_tv_probe_summer,0.7140625,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16161.360852962283,17018.02838937206,56.55010441970648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.58948599999985
grid_0p715625_ramp_0p075,0.715625,0.075,deterministic,deterministic,2025-07-01,complete,100,16161.326890170698,17022.7311642979,56.262634798593645,0.11669943701390477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8834650999999667
grid_0p715625_ramp_0p075,0.715625,0.075,deterministic,deterministic,2025-10-01,complete,100,16848.674581439605,16950.347262595034,51.565887590463454,0.02436420443569504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9188003000001572
grid_0p71875_ramp_0p075,0.71875,0.075,deterministic,deterministic,2025-07-01,complete,100,16161.264017880314,17022.833645498493,56.282451496134456,0.1273335216500946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998070000001462
grid_0p71875_ramp_0p075,0.71875,0.075,deterministic,deterministic,2025-10-01,complete,100,16848.328010317335,16949.916789973286,51.64273969770456,0.025800293697926326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03541419999965
grid_0p71875_ramp_0p075,0.71875,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16161.264017880312,17017.86919981451,56.624969605623455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.3636084999962
grid_0p71875_ramp_0p075,0.71875,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16848.328010317327,16948.920319464178,51.41130561790665,0.02082719038977138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.682526100005
grid_0p725_ramp_0p075,0.725,0.075,deterministic,deterministic,2025-07-01,complete,100,16161.141570162981,17023.027355896822,56.27332182966302,0.14602445480411402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.845330300000569
grid_0p725_ramp_0p075,0.725,0.075,deterministic,deterministic,2025-10-01,complete,100,16847.695298827253,16949.102092027737,51.89286728782783,0.028749998717644373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773412599999574
grid_0p75_ramp_0p075,0.75,0.075,deterministic,deterministic,2025-01-01,complete,100,15840.6508550782,16395.41302841796,49.47670120105775,0.01880021654484376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6884049000000232
grid_0p75_ramp_0p075,0.75,0.075,deterministic,deterministic,2025-04-01,complete,100,15961.154471468186,16239.4719748451,52.46331691227831,0.0371670189574321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7401153999999224
grid_0p75_ramp_0p075,0.75,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.884309613948,17023.34052106235,56.01329190075461,0.18659061195078316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7673274999997375
grid_0p75_ramp_0p075,0.75,0.075,deterministic,deterministic,2025-10-01,complete,100,16845.70191263852,16948.202683633805,52.29744407909928,0.03603549727929121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7136852000003273
grid_0p80_ramp_0p075,0.8,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.236947772273,16391.810211831926,49.589765092080555,0.02631817758185801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8576444999998785
grid_0p80_ramp_0p075,0.8,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757059,16239.224019609748,52.49989993957271,0.03831784078901846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9617464000002656
grid_0p80_ramp_0p075,0.8,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542674,17020.342837179323,56.75242834409397,0.08273364934290375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0704036000006454
grid_0p80_ramp_0p075,0.8,0.075,deterministic,deterministic,2025-10-01,complete,100,16843.17230881529,16949.567854232304,52.51353359131415,0.1315098679129832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.942533800000092
grid_0p90_ramp_0p075,0.9,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.15355250949,16390.880844997082,49.59323063901741,0.025787527168497394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7967579999994996
grid_0p90_ramp_0p075,0.9,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757039,16239.224019609735,52.49989995010212,0.03831784078904175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9531190999996397
grid_0p90_ramp_0p075,0.9,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542682,17020.33576761443,56.74987416963033,0.08273364934307958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0292803000002095
grid_0p90_ramp_0p075,0.9,0.075,deterministic,deterministic,2025-10-01,complete,100,16841.461232943686,16948.637883983203,52.42801531618349,0.09806863406674117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98616199999924
