suite,configuration,method,window,workload_replay_id,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
main,tv_dro_rho_0p01,tv_dro,2025-10-01,0,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16381.511413624727,16904.66889825595,173636.01773893242,0.05842151420237052,51.76086073825064,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,1,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16447.278148357836,16970.43563298906,173411.56784758306,0.054287405444270354,62.01785730684408,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,2,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16361.427997144545,16884.585481775768,173568.0287641978,0.0,46.14431630237058,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,3,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16429.13578938183,16952.293274013056,173648.66450812123,0.0,55.1126108397849,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,4,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16408.55655192903,16931.714036560254,174103.28617566472,0.05428741588702346,47.18736825557794,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,5,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16422.45500646041,16945.612491091633,173648.22510884894,0.0,56.10234018467612,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,6,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16491.035506829026,17014.19299146025,174205.31183995827,0.0,46.11925285403364,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,7,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16442.732569560907,16965.890054192132,174029.74074086556,0.0,50.38125246883461,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,8,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16336.509472681371,16859.666957312595,173099.9805088458,0.054287419012768234,49.29869255615586,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,9,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16451.3331529207,16974.490637551924,173639.5078029222,0.004134092320929428,60.39628622226012,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,10,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16395.755216746446,16918.91270137767,173694.7374455444,0.0,52.59524377194369,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,11,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16430.04501922967,16953.202503860895,174085.22501394193,0.004134092317753524,45.659491809433206,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,12,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16376.254181954397,16899.41166658562,173236.8661494761,0.004134092318547777,46.469672314509566,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,13,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16417.531606619206,16940.68909125043,173167.8702864536,0.0,53.329729662225894,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,14,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16476.633896746094,16999.79138137732,174304.0543232871,0.0,49.21730034513252,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,15,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16456.132654035417,16979.29013866664,173609.858107283,0.0,44.03614998414605,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,16,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16447.41636873411,16970.573853365335,174546.7054065486,0.0,48.262008835823345,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,17,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16455.08977075945,16978.247255390674,173768.3574216313,0.0,59.8886236297876,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,18,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16444.412144964324,16967.56962959555,173579.93792978916,0.0,53.1286297531062,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,19,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16381.783142446548,16904.940627077773,173446.401570748,0.0,52.978647743229665,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,20,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16393.571092579507,16916.72857721073,174457.5308716334,0.0,48.40924411825539,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,21,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16398.7431469066,16921.900631537825,173566.41115737884,0.0,47.25195040961267,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,22,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16410.50375108328,16933.661235714506,173715.08876748034,0.0,49.921811851158715,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,23,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16504.209828016454,17027.36731264768,174071.42739896005,0.0,48.48488989656984,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,24,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16456.107426459923,16979.264911091148,173782.790902504,0.0,56.52292895278513,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,25,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16416.295265567343,16939.45275019857,174047.36664173094,0.0,45.029595428907655,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,26,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16437.33062481775,16960.488109448976,173669.62518157318,0.0,57.31753408826137,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,27,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16446.7910550258,16969.948539657024,173868.51474557613,0.00413409231883155,53.13545347443497,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,28,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16457.328740596815,16980.48622522804,174305.1818661752,0.0,42.29827018318855,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,29,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16404.354225924293,16927.51171055552,173615.75456538907,0.0,39.21637810526475,0.0,0.0,0.0,False,False,False
main,tv_dro_rho_0p01,tv_dro,2025-10-01,30,True,True,20,,0.01,0.7,20.0,optimal_decomposed,476.11964940000007,476.11898550000024,0.0,4,5,16325.691530090546,523.1574846312242,16848.84901472177,16310.116111711548,16833.273596342773,173119.68861658385,0.06435754508070946,46.76512792421691,0.0,0.0,0.0,False,False,False
