suite,configuration,method,window,workload_replay_id,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
main,deterministic,deterministic,2025-07-01,0,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15833.417559703557,16128.688508885481,160032.86060785825,0.7785510029993835,57.48887319944422,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,1,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16795.692398377236,17090.96334755916,180262.99328172012,0.46732965054149156,69.83384468875133,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,2,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15639.200983870269,15934.471933052193,163106.48894572246,1.099279887322564,50.97737244981394,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,3,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15682.775018501314,15978.045967683238,163242.54274395286,0.0,61.90974700316429,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,4,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,17036.808119072026,17332.079068253952,191337.32333737166,0.7438026633412982,52.81668879948526,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,5,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15791.738656205744,16087.009605387668,167908.48691457542,0.567352930133274,60.2111364848039,0.0,0.021079549038964807,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,6,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16601.025033896643,16896.29598307857,173224.12803737403,0.0,54.95555869904288,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,7,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15515.188542635067,15810.459491816991,157670.88935284663,0.7883619842199788,53.69552481970011,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,8,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16288.158701007398,16583.429650189322,178077.26642422238,0.0050295418771028055,58.6348004772441,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,9,True,True,0,,,0.7,20.0,optimal,1.8088097999989259,1.8088109999989683,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16314.00670741509,16609.277656597016,182970.406496593,0.0,113.45800471533329,0.0,0.0,0.8063395379179947,False,False,True
