method,window,workload_replay_id,solver_status,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
deterministic,2025-01-01,0,optimal,15749.16974500065,16573.07569130238,204402.28692788328,0.5655015134604098,36.919598416250565,1.9895196601282805e-13,0.0,6.106226635438361e-16,False,False,False
deterministic,2025-01-01,1,optimal,15749.16974500065,16632.917148620876,204659.10710906124,0.15359849435472572,48.57818554331649,5.684341886080802e-14,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,2,optimal,15749.16974500065,16475.389445281657,203394.2356605969,1.1571323759261338,31.901096303740335,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,3,optimal,15749.16974500065,16575.877345200737,204161.61399558818,0.6772018281300634,37.06851918966231,2.8421709430404007e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,4,optimal,15749.16974500065,16556.52319136344,204645.4253531806,0.3145139972538983,36.968478880080575,2.2737367544323206e-13,0.0,6.106226635438361e-16,False,False,False
deterministic,2025-01-01,5,optimal,15749.16974500065,16543.391889082977,203934.254325798,0.12949313342064817,42.21281730480837,1.9895196601282805e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,6,optimal,15749.16974500065,16473.43500232066,203831.45275944655,0.9798249347549511,34.14918316744508,2.5579538487363607e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,7,optimal,15749.16974500065,16554.1931890103,204037.63510491894,0.3611454816055603,35.56477183115677,1.7053025658242404e-13,0.0,6.661338147750939e-16,False,False,False
deterministic,2025-01-01,8,optimal,15749.16974500065,16642.15239020615,204521.74267654048,1.0677080912149817,36.90169295430144,2.2737367544323206e-13,0.0,3.3306690738754696e-16,False,False,False
deterministic,2025-01-01,9,optimal,15749.16974500065,16601.84160534114,204030.14329982508,0.16951477539518256,47.028383630231694,1.9895196601282805e-13,0.0,6.661338147750939e-16,False,False,False
