suite,configuration,method,window,workload_replay_id,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
main,deterministic,deterministic,2025-07-01,0,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,14984.228898407815,15279.499847589701,151748.80844247498,0.02489905717935892,60.893872780782075,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,1,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,15465.490828261474,15760.76177744336,156256.33942255192,0.15339615934951112,66.79771809614935,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,2,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,16460.873247168645,16756.14419635053,170089.60576395708,0.0,52.539128318710574,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,3,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,15251.300251195735,15546.57120037762,151392.07274138634,0.0,63.277901179315194,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,4,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,16594.67537963292,16889.946328814807,184402.79057939962,0.009455920192567191,53.966486811957544,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,5,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,15274.75176766164,15570.022716843527,156603.68675968164,0.11174957578767047,60.74360295605671,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,6,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,16796.094535101718,17091.365484283604,181343.21801531402,0.03539188038865315,54.003144741145555,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,7,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,16605.964533546005,16901.23548272789,180009.82937089074,0.1737131060867718,55.88698905451203,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,8,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,15620.252679434003,15915.523628615889,167603.62648663105,0.05673803114098164,57.73430861964328,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,9,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,0.0,0,0,15865.461062360768,295.27094918188646,16160.732011542654,16635.236746834362,16930.507696016248,170400.8725846869,0.049155078461812995,64.52741999846087,0.0,0.0,0.0,False,False,False
