suite,configuration,method,window,workload_replay_id,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
main,deterministic,deterministic,2025-01-01,0,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,14834.286196852518,15008.616137767609,170337.65743533813,1.373371301519646,50.80385012727712,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,1,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,14981.798672179866,15156.128613094957,174662.79477719928,0.1604457949033875,58.01357181493064,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,2,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,15843.741826449144,16018.071767364236,191614.06322086358,0.0,46.1541606609285,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,3,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,15185.312677955611,15359.642618870703,171638.4767450815,0.0,49.80055850750813,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,4,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,16266.06827476549,16440.398215680583,204214.1859371368,0.0,50.516440661948174,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,5,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,15236.907024739714,15411.236965654805,175864.15152715714,0.36343506863199265,54.71700471083508,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,6,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,16197.109985432917,16371.439926348008,200547.2060250761,0.018147497337489493,43.72070494163047,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,7,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,16261.156752038438,16435.48669295353,201768.98865100453,0.17414909256298264,50.18201398856264,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,8,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,15467.961947567235,15642.291888482327,185621.4406548299,0.03949364808981792,50.604717688679166,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,9,True,True,0,,,0.7,20.0,optimal,4.462640399986412,4.462641899997834,0.0,0,0,15664.8237115944,174.3299409150922,15839.15365250949,16066.939820024518,16241.26976093961,192832.24251346564,0.03191069541064928,58.45087396068892,0.0,0.0,0.0,False,False,False
