suite,configuration,method,window,workload_replay_id,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
main,deterministic,deterministic,2025-01-01,0,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,14844.374387372942,15006.69050947399,170046.47839072061,0.5715481935334525,51.5071006667342,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,1,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15852.106762274361,16014.42288437541,190446.48363165878,0.08684864855887026,57.10219217687948,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,2,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15514.08358576577,15676.399707866818,180817.2517213738,0.08188014820472636,46.33319215210078,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,3,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15738.08040820837,15900.39653030942,189764.0810862773,0.0,52.29684224442868,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,4,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15654.803914634955,15817.120036736003,185432.01760814848,0.0632302808889269,48.82429858846743,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,5,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,16053.7824700176,16216.09859211865,200963.77710622028,0.0,53.12290990306053,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,6,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15949.07738695664,16111.393509057689,194196.15994078026,0.0,46.26475548238507,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,7,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15309.687928791896,15472.004050892945,175743.496374817,0.03121743274892888,50.42673782773141,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,8,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15845.416614227333,16007.732736328382,190217.73527821412,0.22630878639734453,51.3690112566002,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-01-01,9,True,True,0,,,0.7,20.0,optimal,1.812583100007032,1.8125837999978103,0.0,0,0,15699.809964398493,162.31612210104953,15862.126086499542,15850.784082596578,16013.100204697626,192687.31291868773,0.0,58.670095223592604,0.0,0.0,0.0,False,False,False
