window_scope,paired_observation_count,effect,metric,mean_paired_difference
2025-01-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,-2.3698322358731274
2025-01-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,1.4940880292930523
2025-01-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,-1.76330776588582
2025-01-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,2.1006124992803596
2025-01-01,100,energy_by_workload_interaction,actual_operating_cost_usd,3.86392026516618
2025-01-01,100,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.11335751732212175
2025-01-01,100,energy_effect_at_uncertain_workload,actual_curtailment_mwh,-0.041909628373493775
2025-01-01,100,workload_effect_at_nominal_energy,actual_curtailment_mwh,0.04706985819726372
2025-01-01,100,workload_effect_at_uncertain_energy,actual_curtailment_mwh,-0.10819728749835182
2025-01-01,100,energy_by_workload_interaction,actual_curtailment_mwh,-0.15526714569561553
2025-01-01,100,energy_effect_at_nominal_workload,batch_adjustment_mwh,0.3611208550739417
2025-01-01,100,energy_effect_at_uncertain_workload,batch_adjustment_mwh,0.08577865868463398
2025-01-01,100,workload_effect_at_nominal_energy,batch_adjustment_mwh,-0.231778180266181
2025-01-01,100,workload_effect_at_uncertain_energy,batch_adjustment_mwh,-0.5071203766554887
2025-01-01,100,energy_by_workload_interaction,batch_adjustment_mwh,-0.27534219638930774
2025-04-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,4.713875518762725
2025-04-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,1.60629791439369
2025-04-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,2.134990978606729
2025-04-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,-0.9725866257623056
2025-04-01,100,energy_by_workload_interaction,actual_operating_cost_usd,-3.1075776043690166
2025-04-01,100,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.0015829000245044522
2025-04-01,100,energy_effect_at_uncertain_workload,actual_curtailment_mwh,0.03184327229147929
2025-04-01,100,workload_effect_at_nominal_energy,actual_curtailment_mwh,-0.0061914332543318105
2025-04-01,100,workload_effect_at_uncertain_energy,actual_curtailment_mwh,0.02406893901264303
2025-04-01,100,energy_by_workload_interaction,actual_curtailment_mwh,0.03026037226697484
2025-04-01,100,energy_effect_at_nominal_workload,batch_adjustment_mwh,0.09303700040711518
2025-04-01,100,energy_effect_at_uncertain_workload,batch_adjustment_mwh,0.5665671341569145
2025-04-01,100,workload_effect_at_nominal_energy,batch_adjustment_mwh,-0.2801290407635293
2025-04-01,100,workload_effect_at_uncertain_energy,batch_adjustment_mwh,0.19340109298626998
2025-04-01,100,energy_by_workload_interaction,batch_adjustment_mwh,0.47353013374979924
2025-07-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,0.6308797317030985
2025-07-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,-3.459671620819554
2025-07-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,-9.012707930762062
2025-07-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,-13.103259283284714
2025-07-01,100,energy_by_workload_interaction,actual_operating_cost_usd,-4.090551352522616
2025-07-01,100,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.12399956310702098
2025-07-01,100,energy_effect_at_uncertain_workload,actual_curtailment_mwh,-0.19223681179101118
2025-07-01,100,workload_effect_at_nominal_energy,actual_curtailment_mwh,0.13215607150747202
2025-07-01,100,workload_effect_at_uncertain_energy,actual_curtailment_mwh,-0.1840803033905601
2025-07-01,100,energy_by_workload_interaction,actual_curtailment_mwh,-0.31623637489803214
2025-07-01,100,energy_effect_at_nominal_workload,batch_adjustment_mwh,0.3918694324763712
2025-07-01,100,energy_effect_at_uncertain_workload,batch_adjustment_mwh,-1.720699768278613
2025-07-01,100,workload_effect_at_nominal_energy,batch_adjustment_mwh,1.7216650800732134
2025-07-01,100,workload_effect_at_uncertain_energy,batch_adjustment_mwh,-0.39090412068177083
2025-07-01,100,energy_by_workload_interaction,batch_adjustment_mwh,-2.1125692007549843
2025-10-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,-2.8174567852602195
2025-10-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,-1.1867351411382152
2025-10-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,-0.9084962665334205
2025-10-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,0.7222253775885839
2025-10-01,100,energy_by_workload_interaction,actual_operating_cost_usd,1.6307216441220043
2025-10-01,100,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.09089844847558265
2025-10-01,100,energy_effect_at_uncertain_workload,actual_curtailment_mwh,0.006292071304631464
2025-10-01,100,workload_effect_at_nominal_energy,actual_curtailment_mwh,-0.0008156549186454642
2025-10-01,100,workload_effect_at_uncertain_energy,actual_curtailment_mwh,-0.08542203208959664
2025-10-01,100,energy_by_workload_interaction,actual_curtailment_mwh,-0.0846063771709512
2025-10-01,100,energy_effect_at_nominal_workload,batch_adjustment_mwh,-0.9798135800357559
2025-10-01,100,energy_effect_at_uncertain_workload,batch_adjustment_mwh,0.30753055401877594
2025-10-01,100,workload_effect_at_nominal_energy,batch_adjustment_mwh,-1.3504676499707122
2025-10-01,100,workload_effect_at_uncertain_energy,batch_adjustment_mwh,-0.06312351591618018
2025-10-01,100,energy_by_workload_interaction,batch_adjustment_mwh,1.2873441340545322
all_four_windows,400,energy_effect_at_nominal_workload,actual_operating_cost_usd,0.03936655733311909
all_four_windows,400,energy_effect_at_uncertain_workload,actual_operating_cost_usd,-0.38650520456775667
all_four_windows,400,workload_effect_at_nominal_energy,actual_operating_cost_usd,-2.3873802461436435
all_four_windows,400,workload_effect_at_uncertain_energy,actual_operating_cost_usd,-2.813252008044519
all_four_windows,400,energy_by_workload_interaction,actual_operating_cost_usd,-0.4258717619008621
all_four_windows,400,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.08245960723230747
all_four_windows,400,energy_effect_at_uncertain_workload,actual_curtailment_mwh,-0.04900277414209855
all_four_windows,400,workload_effect_at_nominal_energy,actual_curtailment_mwh,0.043054710382939614
all_four_windows,400,workload_effect_at_uncertain_energy,actual_curtailment_mwh,-0.08840767099146639
all_four_windows,400,energy_by_workload_interaction,actual_curtailment_mwh,-0.131462381374406
all_four_windows,400,energy_effect_at_nominal_workload,batch_adjustment_mwh,-0.03344657301958199
all_four_windows,400,energy_effect_at_uncertain_workload,batch_adjustment_mwh,-0.19020585535457213
all_four_windows,400,workload_effect_at_nominal_energy,batch_adjustment_mwh,-0.03517744773180229
all_four_windows,400,workload_effect_at_uncertain_energy,batch_adjustment_mwh,-0.1919367300667924
all_four_windows,400,energy_by_workload_interaction,batch_adjustment_mwh,-0.15675928233499017
