suite,configuration,method,window,workload_replay_count,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,mean_actual_grid_cost_usd,mean_actual_operating_cost_usd,mean_actual_carbon_kg,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,max_batch_adjustment_mwh,workload_violation_count,workload_violation_rate,workload_mean_violation_magnitude_all,workload_mean_violation_magnitude_conditional,workload_max_violation_magnitude,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_mean_violation_magnitude_all,grid_limit_mean_violation_magnitude_conditional,grid_limit_max_violation_magnitude,ramp_violation_count,ramp_violation_rate,ramp_mean_violation_magnitude_all,ramp_mean_violation_magnitude_conditional,ramp_max_violation_magnitude
main,deterministic,deterministic,2025-01-01,100,True,True,0,,,0.7,20.0,optimal,1.8052688000025228,1.805269500007853,15779.231585439253,136.5212498296268,15915.752835268879,16331.907739883543,16468.428989713168,203199.10233522483,0.014513470786534937,49.40753163628918,59.21567830057446,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-04-01,100,True,True,0,,,0.7,20.0,optimal,1.857298200018704,1.857298900024034,15669.064811747969,423.3322114783263,16092.397023226295,15946.571616156698,16369.903827635024,125650.72967223584,0.3029690428449202,51.37877830714917,62.80935314589079,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-07-01,100,True,True,0,,,0.7,20.0,optimal,1.87075569992885,1.8707566999364644,16014.528401464457,251.71362786459258,16266.242029329049,16872.74700809883,17124.460635963424,171992.15860530327,0.18638504660553554,58.63265037454618,70.19892374658949,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-10-01,100,True,True,0,,,0.7,20.0,optimal,1.9528617999749258,1.9528623999794945,16505.860910268366,447.78352799821045,16953.644438266576,16612.660469473754,17060.443997471964,174155.35811505985,0.05345483017049303,52.872170463627214,65.33657904436068,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,saa_n20,saa,2025-01-01,100,True,True,20,,,0.7,20.0,optimal_decomposed,82.29025999992155,82.28957549994811,15779.231585439247,136.521249829628,15915.752835268875,16332.528411645419,16469.04966147505,203201.9134535438,0.01276286585415276,49.513733129138444,59.24480305036493,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,saa_n20,saa,2025-04-01,100,True,True,20,,,0.7,20.0,optimal_decomposed,87.28006080002524,87.27952260000166,15669.06481174799,423.33221147833234,16092.397023226324,15927.468027413637,16350.80023889197,125507.46007940911,0.0729922875668087,52.0783477510373,62.96956366714991,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,saa_n20,saa,2025-07-01,100,True,True,20,,,0.7,20.0,optimal_decomposed,83.4430502000032,83.44242870004382,16014.5284014645,251.71362786458678,16266.242029329087,16877.31003921396,17129.023667078545,171927.73514283684,0.0601871855079732,58.885645827884254,70.71707832587583,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,saa_n20,saa,2025-10-01,100,True,True,20,,,0.7,20.0,optimal_decomposed,77.23413200001232,77.2334401999833,16505.86091026836,447.7835279982116,16953.64443826657,16609.92682173714,17057.71034973535,174215.31897191677,0.004507675969252211,52.412343503977866,64.65660928718135,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,gamma_ro_gamma_0p5,gamma_ro,2025-01-01,100,True,True,20,0.5,,0.7,20.0,optimal,21.01664529996924,14.674000024795532,15779.231585439253,136.52124982962698,15915.75283526888,16332.352178828425,16468.87342865805,203205.7419572369,0.01742135829057035,49.391425384233536,58.92069727148575,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,gamma_ro_gamma_0p5,gamma_ro,2025-04-01,100,True,True,20,0.5,,0.7,20.0,optimal,29.760786200058647,23.521999835968018,15669.06481174795,423.3322114783373,16092.397023226287,15944.806733576972,16368.13894505531,125489.67865456459,0.0033077131482601397,52.773112747107454,63.513830038102675,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
