ramp_limit_fraction_of_peak,configuration,method,status,completed_energy_windows,maximum_decomposition_iterations,mean_nominal_operating_cost_usd,mean_actual_operating_cost_usd,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,workload_violation_rate,grid_limit_violation_rate,ramp_violation_rate,total_solve_wall_time_seconds,failure_detail
0.1,deterministic,deterministic,complete,4,0,16071.762289230446,16520.066075666055,0.14681745488059794,52.55559076252599,0.0,0.0,0.0,6.880122400063556,
0.1,saa_n20,saa,complete,4,1,16071.762289230446,16518.325507715293,0.03037967596927085,52.97290979548973,0.0,0.0,0.0,337.1250461000018,
0.1,gamma_ro_gamma_0p5,gamma_ro,complete,4,0,16071.762289230435,16516.736632013854,0.0054403498776825565,52.99589054294459,0.0,0.0,0.0,86.65472099994076,
0.1,tv_dro_rho_0p01,tv_dro,complete,4,1,16071.762289230453,16516.56151828643,0.02909868454048078,52.6065221349843,0.0,0.0,0.0,298.0677169000264,
0.075,deterministic,deterministic,complete,4,0,16200.562659938225,16649.7696290511,0.06122691284218202,52.81775500928736,0.0,0.0,0.0,7.96106220013462,
0.075,saa_n20,saa,complete,4,1,16200.562659938221,16644.16697677055,0.05002629278759634,52.818565101698724,0.0,0.0,0.0,473.15673209994566,
0.075,gamma_ro_gamma_0p5,gamma_ro,complete,4,0,16200.562659938216,16648.29627986526,0.017806828536869105,53.21901818193069,0.0,0.0,0.0,140.07973689993378,
0.075,tv_dro_rho_0p01,tv_dro,complete,4,1,16200.562659938229,16643.564384212237,0.032797212665165054,52.79499612289725,0.0,0.0,0.0,349.846856799908,
0.06,deterministic,deterministic,complete,4,0,16307.0090815227,16755.809362695894,0.13933059760187094,53.072782695402935,0.0,0.0,0.0,7.4861844999250025,
0.06,saa_n20,saa,complete,4,1,16307.009081522714,16751.64597929523,0.03761250372454672,53.22251755300947,0.0,0.0,0.0,330.2475029999623,
0.06,gamma_ro_gamma_0p5,gamma_ro,complete,4,0,16307.00908152269,16755.059761372057,0.013119700319941488,53.63062839741036,0.0,0.0,0.0,112.42568550002761,
0.06,tv_dro_rho_0p01,tv_dro,complete,4,3,16307.009081522707,16748.53995714329,0.023406235146512844,53.44499014690943,0.0,0.0,0.0,1002.5505074999528,
0.05,deterministic,deterministic,complete,4,0,16400.709075505463,16852.863558108016,0.4154674245387434,51.95325441432941,0.0,0.0,0.0,8.470919599999888,
0.05,saa_n20,saa,complete,4,1,16400.709075505452,16844.688007011035,0.09875698259459882,52.25594586306194,0.0,0.0,0.0,304.7593293999996,
0.05,gamma_ro_gamma_0p5,gamma_ro,infeasible,0,0,,,,,,,,,gamma_ro_gamma_0p5 is infeasible
0.05,tv_dro_rho_0p01,tv_dro,not_run_after_prior_method_infeasible,0,0,,,,,,,,,
