window_scope,paired_observation_count,effect,metric,mean_paired_difference
2025-01-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,-0.22370449537052992
2025-01-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,2.8527350205170476
2025-01-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,-1.7698587717764531
2025-01-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,1.3065807441111246
2025-01-01,100,energy_by_workload_interaction,actual_operating_cost_usd,3.0764395158875777
2025-01-01,100,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.03203469077952263
2025-01-01,100,energy_effect_at_uncertain_workload,actual_curtailment_mwh,-0.00035189578451300774
2025-01-01,100,workload_effect_at_nominal_energy,actual_curtailment_mwh,0.0003518765572632221
2025-01-01,100,workload_effect_at_uncertain_energy,actual_curtailment_mwh,-0.032034710006772424
2025-01-01,100,energy_by_workload_interaction,actual_curtailment_mwh,-0.032386586564035647
2025-01-01,100,energy_effect_at_nominal_workload,batch_adjustment_mwh,-0.11315819903455925
2025-01-01,100,energy_effect_at_uncertain_workload,batch_adjustment_mwh,-0.15147527887263132
2025-01-01,100,workload_effect_at_nominal_energy,batch_adjustment_mwh,0.04853228750960568
2025-01-01,100,workload_effect_at_uncertain_energy,batch_adjustment_mwh,0.010215207671533619
2025-01-01,100,energy_by_workload_interaction,batch_adjustment_mwh,-0.03831707983807206
2025-04-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,0.25815717816314643
2025-04-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,-1.8789440092992482
2025-04-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,2.0788811666754556
2025-04-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,-0.05822002078693913
2025-04-01,100,energy_by_workload_interaction,actual_operating_cost_usd,-2.1371011874623944
2025-04-01,100,energy_effect_at_nominal_workload,actual_curtailment_mwh,-0.02105795407514404
2025-04-01,100,energy_effect_at_uncertain_workload,actual_curtailment_mwh,-0.04129702703611924
2025-04-01,100,workload_effect_at_nominal_energy,actual_curtailment_mwh,0.03455362059044521
2025-04-01,100,workload_effect_at_uncertain_energy,actual_curtailment_mwh,0.014314547629470003
2025-04-01,100,energy_by_workload_interaction,actual_curtailment_mwh,-0.020239072960975206
2025-04-01,100,energy_effect_at_nominal_workload,batch_adjustment_mwh,-0.03307618997783131
2025-04-01,100,energy_effect_at_uncertain_workload,batch_adjustment_mwh,0.8758805285608937
2025-04-01,100,workload_effect_at_nominal_energy,batch_adjustment_mwh,-1.2837254398865752
2025-04-01,100,workload_effect_at_uncertain_energy,batch_adjustment_mwh,-0.37476872134785005
2025-04-01,100,energy_by_workload_interaction,batch_adjustment_mwh,0.908956718538725
2025-07-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,7.795725558230333
2025-07-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,-9.104841366989968
2025-07-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,9.77496741058927
2025-07-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,-7.1255995146310305
2025-07-01,100,energy_by_workload_interaction,actual_operating_cost_usd,-16.9005669252203
2025-07-01,100,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.0
2025-07-01,100,energy_effect_at_uncertain_workload,actual_curtailment_mwh,0.0
2025-07-01,100,workload_effect_at_nominal_energy,actual_curtailment_mwh,0.0
2025-07-01,100,workload_effect_at_uncertain_energy,actual_curtailment_mwh,0.0
2025-07-01,100,energy_by_workload_interaction,actual_curtailment_mwh,0.0
2025-07-01,100,energy_effect_at_nominal_workload,batch_adjustment_mwh,-0.08162784411614375
2025-07-01,100,energy_effect_at_uncertain_workload,batch_adjustment_mwh,-0.11700378446690302
2025-07-01,100,workload_effect_at_nominal_energy,batch_adjustment_mwh,-0.13545163740392127
2025-07-01,100,workload_effect_at_uncertain_energy,batch_adjustment_mwh,-0.17082757775468052
2025-07-01,100,energy_by_workload_interaction,batch_adjustment_mwh,-0.03537594035075926
2025-10-01,100,energy_effect_at_nominal_workload,actual_operating_cost_usd,-0.7183077533322284
2025-10-01,100,energy_effect_at_uncertain_workload,actual_operating_cost_usd,-2.204273161493111
2025-10-01,100,workload_effect_at_nominal_energy,actual_operating_cost_usd,2.866891921310962
2025-10-01,100,workload_effect_at_uncertain_energy,actual_operating_cost_usd,1.3809265131500796
2025-10-01,100,energy_by_workload_interaction,actual_operating_cost_usd,-1.4859654081608824
