suite,configuration,method,energy_window_count,conditional_workload_replay_count,mean_nominal_operating_cost_usd_across_windows,mean_actual_operating_cost_usd_across_windows,mean_actual_curtailment_mwh_across_windows,mean_batch_adjustment_mwh_across_windows,total_solve_wall_time_seconds,workload_mean_conditional_violation_rate_across_windows,workload_windows_with_any_violation,workload_mean_violation_magnitude_all_across_windows,workload_mean_violation_magnitude_conditional_across_violating_windows,workload_max_violation_magnitude_across_windows,grid_limit_mean_conditional_violation_rate_across_windows,grid_limit_windows_with_any_violation,grid_limit_mean_violation_magnitude_all_across_windows,grid_limit_mean_violation_magnitude_conditional_across_violating_windows,grid_limit_max_violation_magnitude_across_windows,ramp_mean_conditional_violation_rate_across_windows,ramp_windows_with_any_violation,ramp_mean_violation_magnitude_all_across_windows,ramp_mean_violation_magnitude_conditional_across_violating_windows,ramp_max_violation_magnitude_across_windows
main,deterministic,deterministic,4,100,16071.762289230446,16520.066075666055,0.14681745488059794,52.55559076252599,6.880122400063556,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
main,saa_n20,saa,4,100,16071.762289230446,16518.325507715293,0.03037967596927085,52.97290979548973,337.1250461000018,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
main,gamma_ro_gamma_0p5,gamma_ro,4,100,16071.762289230435,16516.736632013854,0.0054403498776825565,52.99589054294459,86.65472099994076,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,4,100,16071.762289230453,16516.56151828643,0.02909868454048078,52.6065221349843,298.0677169000264,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_0,tv_dro,4,100,16071.76228923045,16515.907628734047,0.028941323849081445,52.82660473421136,60.92329270002665,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_0,tv_dro,4,100,16071.762289230446,16517.685596355972,0.031169786542564252,52.71329432085201,271.93953660008265,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_1,tv_dro,4,100,16071.762289230446,16519.14534916575,0.052185303395531804,52.428364620778815,303.42878879996715,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_1,tv_dro,4,100,16071.762289230453,16516.56151828643,0.02909868454048078,52.6065221349843,276.10712890006835,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
sensitivity,tv_dro_bess_cost_10,tv_dro,4,100,15692.746461571574,16161.453409613143,0.06879324456461512,52.5290565250034,275.44411839998793,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
sensitivity,tv_dro_bess_cost_20,tv_dro,4,100,16071.762289230453,16516.56151828643,0.02909868454048078,52.6065221349843,276.10712890006835,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
sensitivity,tv_dro_bess_cost_40,tv_dro,4,100,16304.617595864685,16736.095859444515,0.013124338047057383,52.387683732479225,276.33964869997,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
sensitivity,tv_dro_capacity_fraction_0p6,tv_dro,4,100,15205.836192637993,15645.217750027237,0.03458874404831154,45.569541282979515,273.31024479994085,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
sensitivity,tv_dro_capacity_fraction_0p7,tv_dro,4,100,16071.762289230453,16516.56151828643,0.02909868454048078,52.6065221349843,276.10712890006835,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
sensitivity,tv_dro_capacity_fraction_0p8,tv_dro,4,100,16940.216837662872,17392.836873772692,0.027051990556096646,59.03723309734029,275.0627367999987,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
