window,carbon_budget_reduction,effective_capacity_cores,workload_scale,pv_capacity_mw,wind_capacity_mw,feasible,grid_cost_usd,bess_degradation_cost_usd,operating_cost_usd,cost_reduction,forecast_carbon_kg,carbon_budget_kg,carbon_budget_slack_kg,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_carbon_budget_violation_kg,forecast_curtailment_mwh,actual_curtailment_mwh,actual_grid_limit_violation_hours,actual_ramp_violation_hours
2025-01-01,0.0,271084.8,0.07276986,0.4105,0.4105,True,12694.45,199.07,12893.52,0.1173,154702.88,158051.59,3348.7,13131.75,13330.83,166341.1,8289.52,0.0,0.0,0,86
2025-01-01,0.05,271084.8,0.07276986,0.4105,0.4105,True,12979.17,1006.61,13985.78,0.0425,150149.01,150149.01,0.0,13416.48,14423.08,168197.47,18048.46,0.0,0.0,26,186
2025-01-01,0.1,271084.8,0.07276986,0.4105,0.4105,False,,,,,,,,,,,,,,,
2025-04-01,0.0,271084.8,0.07276986,0.4105,0.4105,True,12236.05,534.72,12770.76,0.1349,105982.69,108710.43,2727.74,12510.89,13045.61,101473.9,0.0,0.0,0.0,5,140
2025-04-01,0.05,271084.8,0.07276986,0.4105,0.4105,True,12274.73,612.91,12887.63,0.127,103274.91,103274.91,0.0,12549.57,13162.48,100253.58,0.0,0.0,0.0,2,144
2025-04-01,0.1,271084.8,0.07276986,0.4105,0.4105,False,,,,,,,,,,,,,,,
2025-07-01,0.0,271084.8,0.07276986,0.4105,0.4105,True,12594.02,308.47,12902.49,0.1102,134205.05,135152.51,947.46,13398.5,13706.97,140828.68,5676.17,0.0,0.0,5,173
2025-07-01,0.05,271084.8,0.07276986,0.4105,0.4105,True,12724.38,839.24,13563.62,0.0646,128394.89,128394.89,0.0,13528.85,14368.09,137097.04,8702.16,0.0,0.0,5,188
2025-07-01,0.1,271084.8,0.07276986,0.4105,0.4105,False,,,,,,,,,,,,,,,
2025-10-01,0.0,271084.8,0.07276986,0.4105,0.4105,True,13231.41,591.51,13822.93,0.1061,158303.08,161149.52,2846.44,13336.73,13928.25,142062.55,0.0,0.0,0.0,1,133
2025-10-01,0.05,271084.8,0.07276986,0.4105,0.4105,True,13419.47,906.17,14325.64,0.0736,153092.05,153092.05,0.0,13524.79,14430.96,140523.48,0.0,0.0,0.0,2,136
2025-10-01,0.1,271084.8,0.07276986,0.4105,0.4105,False,,,,,,,,,,,,,,,
