hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours
0,159634.442347,159634.442347,159634.442347
1,0.0,0.0,49299.412097
2,0.0,0.0,38495.0325
3,0.0,0.0,4569.334583
4,11.551347,11.551347,4562.179264
5,2.100694,2.100694,4266.209861
6,1.428194,1.428194,4114.519028
7,0.0,0.0,32.508889
8,14.311028,14.311028,46.819917
9,0.023361,0.023361,32.53225
10,0.0,0.0,32.508889
11,0.0,0.0,32.508889
12,262.588569,262.588569,295.097458
13,0.0,0.0,0.0
14,5.254583,5.254583,5.254583
15,22.560139,22.560139,22.560139
16,7.025028,7.025028,7.025028
17,0.017056,0.017056,0.017056
18,129.25425,129.25425,129.25425
19,45.903889,45.903889,45.903889
20,2470.014403,2470.014403,2470.014403
21,228.463736,228.463736,2514.477625
22,927.921153,927.921153,3220.832819
23,6228.959347,6228.959347,8521.871014
24,511720.789917,511720.789917,513096.781167
25,414117.875292,414117.875292,554052.975597
26,360885.488667,360885.488667,567663.225333
27,903684.294208,903684.294208,1134257.170792
28,741173.415625,741173.415625,1265424.365972
29,799040.563222,799040.563222,1361307.866264
30,766593.124111,766593.124111,1415032.667958
31,632976.699347,632976.699347,1424264.1115
32,533953.561208,533953.561208,1428754.105375
33,511526.478861,511526.478861,1438946.6565
34,495992.338958,495992.338958,1414172.767167
35,541816.331167,541816.331167,1561448.369667
36,393695.346264,393695.346264,1451010.473681
37,373676.141528,373676.141528,1400062.071097
38,489451.488403,489451.488403,1555481.403681
39,379271.817806,379271.817806,1417921.346694
40,475783.938806,475783.938806,1456347.555861
41,686885.945694,686885.945694,1703362.802819
42,545283.123194,545283.123194,1682211.105889
43,575871.455694,575871.455694,1746612.408917
44,691229.444111,691229.444111,1910368.326236
45,449880.292194,449880.292194,1931513.725958
46,277161.089153,277161.089153,1687301.178306
47,323469.657833,323469.657833,1601568.463694
48,520476.771417,520476.771417,1862395.633222
49,407138.915694,407138.915694,1798358.152014
50,472632.973139,472632.973139,1892517.367694
51,854791.70675,854791.70675,2377948.222472
52,517976.792056,517976.792056,2352433.15425
53,809005.823181,809005.823181,2677367.381847
54,711164.798903,711164.798903,2444056.878861
55,554423.591611,554423.591611,2379982.014403
56,952020.927167,952020.927167,2406466.822667
57,572588.835653,572588.835653,2343424.272819
58,454774.841694,454774.841694,2214636.080431
59,453188.668431,453188.668431,2203623.007292
60,450962.017875,450962.017875,2160505.726792
61,588132.556431,588132.556431,2233658.378556
62,662928.429764,662928.429764,2445177.981083
63,430811.50625,430811.50625,2362890.246194
64,552141.868542,552141.868542,2489845.3465
65,886749.632319,886749.632319,2751737.648569
66,507432.099833,507432.099833,2682387.07625
67,614622.135653,614622.135653,2786484.710806
68,564384.4905,564384.4905,2727646.944486
69,558389.445028,558389.445028,2746886.141833
70,346130.949708,346130.949708,2219068.461236
71,526789.842931,526789.842931,2337882.328514
72,661656.041625,661656.041625,2538984.739611
73,352100.789611,352100.789611,2116313.304681
74,620052.065514,620052.065514,2297163.045236
75,831156.776944,831156.776944,2596131.323306
76,863938.029778,863938.029778,2714183.085764
77,691113.546958,691113.546958,2493145.891417
78,603657.636167,603657.636167,2300403.661792
79,614790.351569,614790.351569,2341350.508292
80,527659.977833,527659.977833,2216220.7075
81,758423.311083,758423.311083,2488928.421903
82,478331.170847,478331.170847,2064434.067736
83,461072.049639,461072.049639,2020788.077208
84,380712.170347,380712.170347,1913200.612514
85,350644.864403,350644.864403,1925318.75725
86,410802.196792,410802.196792,1920762.247278
